Langtag,Lognrwords,COMPATIBLE,INCOMPATIBLE
mk,9,1201,17
mk,8,8303,139
ur,11,147,2
ur,10,331,0
ur,12,16,0
ur,14,4,0
ur,1,216443,47899
ur,0,23157,22539
ur,3,21612,2820
ur,2,76605,19098
ur,5,29195,268
ur,4,23129,810
ur,7,24672,39
ur,6,34410,75
ur,9,1557,0
ur,8,8901,417
mu,1,0,51
mu,0,0,25
mu,3,0,5
mu,2,0,48
mt,1,16459,1427
mt,0,866,556
mt,3,1837,15
mt,2,12284,578
mt,4,25,1
mw,1,0,2249
mw,0,0,233
mw,3,0,8
mw,2,0,187
un,1,0,6
un,0,0,9
ms,11,15,13
ms,10,114,26
ms,12,7,1
ms,1,1022389,725525
ms,0,88410,656656
ms,3,188220,343818
ms,2,321473,271172
ms,5,277913,37846
ms,4,127782,62374
ms,7,32471,2307
ms,6,92799,10778
ms,9,938,147
ms,8,8904,464
mr,11,21,8
mr,10,73,18
mr,13,2,2
mr,12,4,2
mr,15,2,0
mr,1,243206,165084
mr,0,187359,140740
mr,3,53302,5491
mr,2,93712,48280
mr,5,40896,857
mr,4,48539,1058
mr,7,3908,353
mr,6,18662,769
mr,9,327,31
mr,8,1026,150
vm,1,0,1664
vm,0,0,126
vm,3,0,4
vm,2,0,223
ud,1,0,379
ud,0,0,227
ud,2,0,3
ug,1,19576,275
ug,0,347,176
ug,3,7,6
ug,2,158,33
ug,4,3,0
my,11,66,4
my,10,322,0
my,12,0,2
my,1,152109,17892
my,0,233597,28910
my,3,5231,1974
my,2,12895,10461
my,5,23583,168
my,4,43508,422
my,7,8009,56
my,6,9810,146
my,9,1426,5
my,8,4562,22
ki,1,0,177
ki,0,0,115
ki,3,0,1
ki,2,0,11
il,1,0,1732
il,0,0,411
il,3,0,472
il,2,0,2026
il,4,0,15
aa,1,6,15
aa,0,0,12
va,1,0,54
va,0,0,232
va,3,0,1
va,2,0,15
ac,1,0,8593
ac,0,0,158
ac,3,0,1
ac,2,0,155
ab,1,18722,56
ab,0,321,39
ab,3,2,0
ab,2,21,3
ae,1,0,3
ae,2,0,1
ve,1,20,5153
ve,0,15,1730
ve,3,2,14
ve,2,12,485
ag,1,0,1
ag,0,0,2
af,11,10,0
af,10,30,0
af,12,5,0
af,1,44391,115617
af,0,35601,66620
af,3,14749,9522
af,2,27527,56429
af,5,58798,1934
af,4,29051,2433
af,7,18134,52
af,6,62440,600
af,9,700,18
af,8,7266,14
tn,1,118,180
tn,0,32,118
tn,3,20,0
tn,2,91,30
vi,11,116,10
vi,10,1942,163
vi,12,11,12
vi,14,1,0
vi,1,986263,2807879
vi,0,1772,1709179
vi,3,842196,156207
vi,2,1285750,717032
vi,5,750299,14763
vi,4,1614974,27009
vi,7,94437,1308
vi,6,503293,7930
vi,9,8097,49
vi,8,41226,299
is,11,7,2
is,10,69,10
is,12,2,0
is,1,754483,64751
is,0,104979,44785
is,3,31161,3399
is,2,73648,21791
is,5,87535,706
is,4,47430,971
is,7,17679,36
is,6,72463,134
is,9,375,4
is,8,4654,34
av,1,0,158
av,0,0,198
av,2,0,19
am,11,4,0
am,10,24,4
am,1,4304,3225
am,0,427,3164
am,3,6079,374
am,2,9334,1650
am,5,7704,4
am,4,8046,61
am,7,1574,0
am,6,4640,12
am,9,118,0
am,8,536,0
it,11,1736,197
it,10,2793,330
it,13,93,2
it,12,249,47
it,1,1993504,9283201
